date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:40	7082/7082	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202023%2016:24:39%20GMT	https://go-tailwind.preview.uideck.com/robots.txt		(from )
17:24:40	117143/117143	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:40%20GMT	https://go-tailwind.preview.uideck.com/	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index.html	(from )
17:24:41	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e20afb6345ffbdbf1eb1a029f73c3c32%22	https://go-tailwind.preview.uideck.com/favicon.ico	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/favicon.ico	(from https://go-tailwind.preview.uideck.com/)
17:24:42	46316/46316	---MCZ	200	added ('OK')	text/css	etag:W/%22c926703bc23668342a3068a67acd2acd%22	https://go-tailwind.preview.uideck.com/style.css	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/style.css	(from https://go-tailwind.preview.uideck.com/)
17:24:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:42%20GMT	https://go-tailwind.preview.uideck.com/index.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/)
17:24:44	7130/7130	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22464a9c8d2170b0fcd208b64d8c0bedd1%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	(from https://go-tailwind.preview.uideck.com/)
17:24:45	7133/7133	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d11ee2959e7c7046f57d712ffe403cf%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	(from https://go-tailwind.preview.uideck.com/)
17:24:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:45%20GMT	https://go-tailwind.preview.uideck.com/blog-grids.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
17:24:47	54903/54903	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:46%20GMT	https://go-tailwind.preview.uideck.com/blog-grids	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
17:24:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:47%20GMT	https://go-tailwind.preview.uideck.com/blog-details.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/blog-details.html	(from https://go-tailwind.preview.uideck.com/)
17:24:49	29990/29990	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:48%20GMT	https://go-tailwind.preview.uideck.com/blog-details	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/blog-details.html	(from https://go-tailwind.preview.uideck.com/)
17:24:49	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:49%20GMT	https://go-tailwind.preview.uideck.com/404.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/404.html	(from https://go-tailwind.preview.uideck.com/)
17:24:51	23118/23118	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:50%20GMT	https://go-tailwind.preview.uideck.com/404	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/404.html	(from https://go-tailwind.preview.uideck.com/)
17:24:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:51%20GMT	https://go-tailwind.preview.uideck.com/signin.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/signin.html	(from https://go-tailwind.preview.uideck.com/)
17:24:53	29766/29766	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:52%20GMT	https://go-tailwind.preview.uideck.com/signin	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/signin.html	(from https://go-tailwind.preview.uideck.com/)
17:24:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Aug%202023%2016:24:53%20GMT	https://go-tailwind.preview.uideck.com/signup.html	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/signup.html	(from https://go-tailwind.preview.uideck.com/)
17:24:55	30188/30188	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Aug%202023%2016:24:54%20GMT	https://go-tailwind.preview.uideck.com/signup	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/signup.html	(from https://go-tailwind.preview.uideck.com/)
17:24:56	235237/235237	---M--	200	added ('OK')	image/jpeg	etag:%22755f304d305bc6be8203a548023951cd%22	https://go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:24:57	141905/141905	---M--	200	added ('OK')	image/jpeg	etag:%2274cc58b01f77f60da694cc2736aad80b%22	https://go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:24:58	132306/132306	---M--	200	added ('OK')	image/jpeg	etag:%22a8b45620110436ebf2ecb8119ddc809a%22	https://go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
